0.19	0	57.9	70	9.3	1014.8	16.1
0.32	1	57.9	62	13	1016.1	16.1
0.32	1	61	56	13	1016.2	16.1
0.53	1	63	46	18.5	1016.4	16.1
0.69	-1	60.1	64	0	1016.3	16.1
0.31	1	62.1	50	11.1	1015.9	16.1
0.33	1	64.9	43	11.1	1016.2	16.1
0.24	2	66.9	32	20.4	1016.9	16.1
0.22	2	66	34	27.8	1018	16.1
0.21	2	64	35	22.2	1019.2	16.1
0.2	1	62.1	37	33.3	1020	16.1
0.22	0	52	57	18.5	1022.1	16.1
0.24	0	50	61	18.5	1022.8	16.1
0.24	0	48	68	16.7	1023.2	16.1
0.26	-1	46.9	68	13	1023.7	16.1
0.27	-1	46	68	14.8	1024.2	16.1
0.17	0	44.1	65	20.4	1024.6	16.1
0.16	0	43	62	18.5	1025.3	16.1
0.17	0	43	65	16.7	1025.8	16.1
0.17	0	43	62	14.8	1026.6	16.1
0.17	0	43	53	16.7	1026.5	16.1
0.19	0	46	40	18.5	1026.1	16.1
0.21	0	46.9	32	20.4	1026	16.1
0.22	1	46.9	30	14.8	1025.6	16.1
0.25	1	46.9	28	22.2	1025	16.1
0.2	1	48	24	18.5	1025	16.1
0.18	1	48	39	9.3	1025.5	16.1
0.18	1	51.1	21	20.4	1025.5	16.1
0.17	2	51.1	23	27.8	1025.4	16.1
0.17	2	50	26	22.2	1026	16.1
0.17	2	48	27	11.1	1026.4	16.1
0.17	2	46	29	9.3	1026.8	16.1
0.17	2	44.1	34	11.1	1027.1	16.1
0.16	2	41	35	16.7	1027.2	16.1
0.18	2	39	41	13	1027.2	16.1
0.18	2	36	46	16.7	1026.5	16.1
0.19	3	34	48	16.7	1025.9	16.1
0.22	2	30.9	54	13	1025	16.1
0.17	2	33.1	48	27.8	1021.3	16.1
0.16	2	33.1	43	22.2	1020.5	16.1
0.16	2	34	42	33.3	1019.4	16.1
0.16	2	36	41	31.5	1018	16.1
0.17	2	37	46	33.3	1016.3	16.1
0.17	2	39	53	25.9	1014.8	16.1
0.19	0	39.9	63	25.9	1013.3	16.1
0.22	0	39.9	73	18.5	1012.1	16.1
0.26	0	41	70	20.4	1010.4	16.1
0.23	0	41	73	14.8	1009.1	16.1
0.26	0	39.9	79	18.5	1008.5	16.1
0.28	-1	39	89	22.2	1008.1	14.5
0.32	-1	39	89	24.1	1007.3	11.3
0.29	-1	37.9	89	24.1	1007	8
0.3	-1	37.9	86	25.9	1006.9	8
0.26	-1	41	70	11.1	1006.5	12.9
0.28	0	44.1	53	18.5	1006.2	16.1
0.28	0	44.1	45	14.8	1006.5	16.1
0.3	0	43	43	14.8	1006.8	16.1
0.34	0	42.1	47	13	1007.4	16.1
0.61	1	39.9	58	9.3	1007.7	16.1
0.57	2	32	66	11.1	1007.4	16.1
0.62	2	37	54	0	1008	16.1
0.53	1	36	57	5.6	1007.9	16.1
0.33	2	37	57	14.8	1008	16.1
0.31	2	37.9	60	18.5	1008.2	16.1
0.42	2	39	50	9.3	1008.4	16.1
1.06	2	43	43	7.4	1008.8	16.1
0.74	2	44.1	37	7.4	1008.8	16.1
0.47	2	44.1	38	7.4	1008.5	16.1
0.29	2	45	37	20.4	1007.7	16.1
0.24	1	46.9	36	27.8	1006.6	16.1
0.22	1	48	36	25.9	1005.6	16.1
0.21	1	46.9	36	29.6	1004.7	16.1
0.22	1	46.9	36	31.5	1004.5	16.1
0.21	0	46	37	33.3	1004.2	16.1
0.22	1	46.9	39	37	1003.5	16.1
0.22	0	46.9	39	29.6	1003	16.1
0.22	1	48.9	43	27.8	1002.7	16.1
0.22	1	48	42	33.3	1002.6	16.1
0.23	-1	44.1	60	31.5	1002.3	16.1
0.26	1	46	56	25.9	1001.7	16.1
0.27	2	45	60	24.1	1001.1	16.1
0.31	2	43	65	16.7	1000.4	16.1
0.21	2	46	66	24.1	999.1	16.1
0.23	1	48	66	14.8	998.7	16.1
0.21	2	48.9	64	18.5	998.4	16.1
0.2	1	50	63	24.1	998.5	16.1
0.19	1	52	61	48.2	998.4	16.1
0.19	1	54	62	24.1	997.6	16.1
0.21	1	55	57	18.5	997.2	16.1
0.33	2	54	57	9.3	996.8	16.1
0.39	2	55.9	55	18.5	996	16.1
0.27	1	57.9	56	27.8	995.6	16.1
0.23	1	59	60	27.8	995.3	16.1
0.23	1	57.9	67	29.6	995	16.1
0.23	1	57	69	40.7	994.6	16.1
0.21	-1	57	89	29.6	994.5	11.3
0.25	0	55	93	25.9	995.7	11.3
0.25	-1	55	89	24.1	997.8	4.8
0.23	0	57	77	18.5	1000.5	16.1
0.23	0	57.9	75	18.5	1002.5	16.1
0.23	0	60.1	69	24.1	1004.3	16.1
0.25	0	57.9	72	14.8	1005.7	16.1
0.26	0	57	69	20.4	1006.8	16.1
0.29	0	55.9	72	16.7	1007.4	16.1
0.41	0	46.9	83	0	1010.1	16.1
0.41	0	48	77	0	1011.5	16.1
0.31	0	46.9	77	0	1012.8	16.1
0.26	0	46	76	0	1014.2	16.1
0.27	0	46	73	7.4	1015	16.1
0.24	0	45	71	11.1	1016	16.1
0.22	0	45	68	14.8	1016.7	16.1
0.22	1	45	60	18.5	1017.4	16.1
0.19	1	46	47	25.9	1018	16.1
0.21	1	46	40	24.1	1021.3	16.1
0.21	1	48	34	27.8	1022.9	16.1
0.23	1	46.9	36	18.5	1024.9	16.1
0.3	1	46	34	14.8	1026.2	16.1
0.23	2	41	31	13	1028.7	16.1
0.28	2	37.9	32	7.4	1029.6	16.1
0.43	2	37	30	0	1029.5	16.1
0.48	2	34	34	9.3	1029.6	16.1
0.6	2	30	41	5.6	1028.5	16.1
0.24	3	30	41	7.4	1028.2	16.1
0.25	3	28	45	11.1	1028.8	16.1
0.22	3	28.9	40	11.1	1028.7	16.1
0.2	2	33.1	32	14.8	1028.8	16.1
0.21	2	34	30	16.7	1028.9	16.1
0.18	2	36	26	20.4	1028.7	16.1
0.21	2	37	24	18.5	1028.7	16.1
0.22	2	39	21	16.7	1028	16.1
0.21	2	39.9	19	18.5	1026.8	16.1
0.25	3	41	16	24.1	1026.3	16.1
0.19	3	43	18	20.4	1025.7	16.1
0.17	3	43	18	20.4	1025.5	16.1
0.17	3	42.1	25	29.6	1025.9	16.1
0.17	3	39.9	28	24.1	1026.5	16.1
0.17	2	37.9	25	24.1	1026.9	16.1
0.18	2	35.1	27	37	1027.1	16.1
0.18	2	32	35	29.6	1026.2	16.1
0.19	2	30	36	38.9	1025.4	16.1
0.24	2	27	45	35.2	1024.5	16.1
0.27	1	26.1	49	31.5	1023.8	16.1
0.17	1	28	56	31.5	1019.8	16.1
0.17	1	28.9	64	31.5	1019.5	16.1
0.17	0	30	66	27.8	1019.4	16.1
0.18	0	30	72	25.9	1018.8	16.1
0.19	0	30	75	27.8	1018.3	16.1
0.2	0	30.9	76	24.1	1017.6	16.1
0.22	0	32	82	31.5	1016.2	16.1
0.25	0	33.1	89	25.9	1015.3	16.1
0.26	0	34	96	25.9	1013.9	16.1
0.31	0	36	97	27.8	1012.5	16.1
0.34	-1	39	96	31.5	1010.5	9.7
0.46	-1	44.1	96	11.1	1009.5	4.8
0.62	-1	44.1	96	14.8	1008.8	4.8
0.63	-1	43	97	9.3	1009.2	4
0.63	-1	42.8	93	9.3	1009	6.4
0.56	-1	43	89	13	1009.4	12.9
0.6	-1	43	89	11.1	1009.8	8
0.67	0	42.1	89	11.1	1010.3	12.9
0.7	-1	42.1	82	7.4	1010.5	9.7
0.62	-1	42.1	76	0	1011.2	14.5
0.58	-1	44.1	71	9.3	1012.5	16.1
0.33	-1	43	65	13	1013	16.1
0.23	0	37.9	53	14.8	1015.4	16.1
0.21	0	37.9	45	13	1016.2	16.1
0.24	-2	37.9	41	5.6	1017.2	14.5
0.23	2	39.9	27	16.7	1015.2	16.1
0.19	2	42.1	25	20.4	1014.2	16.1
0.17	2	43	22	24.1	1013.5	16.1
0.16	2	44.1	21	25.9	1012.8	16.1
0.16	2	43	21	35.2	1011.9	16.1
0.16	2	43	21	42.6	1011.4	16.1
0.16	2	41	21	35.2	1011	16.1
0.16	2	42.1	22	33.3	1010.3	16.1
0.16	2	39	26	44.4	1009.4	16.1
0.15	2	37.9	28	50	1008.3	16.1
0.15	2	37	29	51.9	1006.7	16.1
0.15	2	35.1	35	57.4	1005.1	16.1
0.15	2	36	44	42.6	1003	16.1
0.16	1	36	59	46.3	1000	16.1
0.17	1	41	62	42.6	992	16.1
0.17	0	42.1	79	27.8	992	16.1
0.19	0	44.1	85	24.1	991.9	16.1
0.19	-3	42.8	87	40.7	991.8	8
0.22	0	50	83	13	991.7	16.1
0.26	1	50	83	24.1	993.3	16.1
0.24	1	51.1	83	22.2	994.1	16.1
0.25	2	51.1	80	18.5	994.1	16.1
0.32	1	55	49	11.1	993.6	16.1
0.27	2	55	49	14.8	993.9	16.1
0.22	2	57	47	25.9	994.2	16.1
0.23	2	55.9	53	16.7	994.2	16.1
0.22	1	55	55	9.3	994.8	16.1
0.21	1	55	59	16.7	996.9	16.1
0.22	0	52	66	20.4	998.1	16.1
0.22	-1	52	69	13	999.7	16.1
0.25	0	50	83	7.4	1000.9	16.1
0.26	-1	50	83	13	1002.9	9.7
0.27	-1	50	80	13	1003.1	11.3
0.31	-1	53.1	71	11.1	1003.2	11.3
0.36	-1	55	64	0	1002.6	16.1
0.31	0	54	66	7.4	1002.5	16.1
0.22	-1	55.9	67	14.8	1003.8	16.1
0.24	-1	59	55	20.4	1004.2	16.1
0.22	0	61	56	14.8	1003.8	16.1
0.24	0	64	43	11.1	1003.6	16.1
0.26	0	64.9	45	16.7	1003.8	16.1
0.37	0	66.9	79	11.1	1002.1	16.1
0.35	0	68	76	9.3	1001.2	16.1
0.35	0	68	76	14.8	999.9	16.1
0.25	-3	71.6	69	40.7	1000.2	14.5
0.25	1	78.1	46	25.9	998.1	16.1
0.23	2	80.1	43	25.9	997.3	16.1
0.22	1	78.1	50	24.1	998	16.1
0.23	1	77	54	33.3	999.2	16.1
0.21	1	73.9	64	31.5	1000	16.1
0.22	1	70	78	25.9	1000.7	16.1
0.21	0	71.1	70	31.5	1002.4	16.1
0.21	0	71.6	73	31.5	1002.3	16.1
0.2	0	70	78	24.1	1002.6	16.1
0.21	0	68	87	29.6	1003.3	16.1
0.24	-1	66.9	87	14.8	1003.8	9.7
0.21	0	66.9	84	24.1	1004.2	16.1
0.17	0	66	84	22.2	1006.5	16.1
0.16	0	64.9	84	24.1	1006.5	16.1
0.17	0	66	78	22.2	1006.8	16.1
0.18	0	66	78	20.4	1007.7	16.1
0.17	-1	66	73	18.5	1008.2	16.1
0.19	-1	64.9	73	25.9	1008.3	16.1
0.21	1	64.9	65	20.4	1009	16.1
0.2	1	73	41	35.2	1012.1	16.1
0.2	1	72	43	25.9	1013.1	16.1
0.21	0	71.1	44	27.8	1013.8	16.1
0.19	0	71.1	44	35.2	1014.4	16.1
0.19	1	68	47	37	1014.9	16.1
0.19	1	64	54	33.3	1016	16.1
0.29	1	57.9	62	18.5	1016.4	16.1
0.49	1	53.1	71	11.1	1017.1	16.1
0.5	2	50	71	9.3	1017.4	16.1
0.19	1	48	52	27.8	1019.9	16.1
0.18	1	46.9	46	18.5	1020.7	16.1
0.19	1	46.9	46	22.2	1021.5	16.1
0.21	1	46.9	50	22.2	1021.5	16.1
0.23	1	48	48	20.4	1022.5	16.1
0.23	1	50	50	22.2	1022.8	16.1
0.34	1	52	47	18.5	1022	16.1
0.29	1	52	50	24.1	1021.8	16.1
0.26	1	54	43	18.5	1022.5	16.1
0.25	1	53.1	43	16.7	1023.4	16.1
0.24	1	52	45	22.2	1024.8	16.1
0.25	2	52	37	20.4	1025.5	16.1
0.23	2	53.1	26	18.5	1026	16.1
0.22	2	53.1	22	13	1027	16.1
0.21	2	50	21	9.3	1027.8	16.1
0.22	2	48	26	9.3	1028.5	16.1
0.32	2	44.1	31	5.6	1028.7	16.1
0.59	2	43	31	0	1028.9	16.1
0.64	2	39	38	0	1028.6	16.1
0.9	2	34	46	5.6	1028.4	16.1
0.38	3	37	37	0	1025.9	16.1
0.2	3	37	36	5.6	1026	16.1
